Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	53	221	15	20	6	0
0.0032	90	354	28	26	8	0
0.00639	101	386	31	26	9	0
0.00641	107	396	32	26	9	0
0.00644	115	409	34	27	9	0
0.00961	121	422	37	27	9	-0.659112
0.00964	129	441	38	27	9	-0.915139
0.00966	129	444	37	27	13	-0.972229
0.00972	130	466	36	27	13	-1.07959
0.00974	131	470	36	27	13	-1.19556
0.01283	135	473	37	27	13	-1.31226
0.01285	143	499	37	27	21	-1.20099
0.01288	151	511	40	27	23	-0.976135
0.01292	158	549	41	28	25	-0.800909
0.01294	158	557	41	28	25	-0.611753
0.01303	158	560	40	28	25	-0.426096
0.01307	159	567	39	28	27	0.0266465
0.01606	160	569	39	28	28	0.319681
0.01608	168	586	42	29	28	0.718803
0.0161	177	608	42	33	29	0.827028
0.01613	180	640	43	33	29	1.17467
0.01616	206	691	48	40	29	1.79038
0.01618	207	693	48	40	29	1.73349
0.01623	208	703	48	40	29	1.6656
0.01626	209	721	48	40	29	1.6742
0.0163	209	727	46	44	29	1.65568
0.01639	210	731	45	47	29	1.54662
0.01645	212	739	46	47	29	1.75392
0.01933	215	747	46	47	29	1.92465
0.01935	218	762	45	51	29	1.87374
0.01938	227	791	45	55	29	1.83909
0.0194	238	851	44	62	29	1.48044
0.01942	239	854	44	62	29	1.41726
0.01944	245	879	43	69	29	0.973643
0.01946	245	891	41	69	29	0.546234
0.01948	245	901	41	69	29	0.477363
0.0195	251	951	40	72	29	0.349246
0.01954	251	958	40	72	29	0.324623
0.01958	251	960	40	72	29	0.301165
0.01964	252	978	40	73	29	0.318424
0.01966	253	983	39	78	29	0.249661
0.01969	253	993	39	78	29	0.227814
0.01988	253	1007	39	78	29	0.225277
0.0199	253	1008	39	78	29	0.284322
0.02259	256	1018	40	79	29	0.312931
0.02263	260	1040	40	80	29	0.310722
0.02265	266	1097	40	83	29	0.295113
0.02267	267	1100	40	83	29	0.274479
0.02269	275	1145	38	92	29	0.111107
0.02271	276	1181	36	92	31	0.049463
0.02273	276	1184	36	92	31	-0.0532845
0.02275	282	1270	35	94	32	-0.154735
0.02277	286	1327	34	96	33	-0.231299
0.02279	287	1333	34	96	33	-0.3069
0.02282	288	1338	34	96	33	-0.343224
0.02284	289	1350	33	96	37	-0.309826
0.02288	290	1400	31	103	41	-0.248146
0.0229	290	1420	31	103	41	-0.198708
0.02292	291	1422	31	103	41	-0.150977
0.02294	291	1432	31	103	41	-0.10081
0.02296	291	1434	31	103	41	-0.0480156
0.02299	291	1436	31	103	41	-0.0465282
0.02302	292	1438	31	103	42	-0.0364047
0.02307	292	1448	31	103	42	-0.0262002
0.02309	292	1458	31	103	42	-0.0159137
0.02313	292	1472	31	103	42	0.00448282
0.02316	292	1473	31	103	42	0.0127525
0.02336	292	1478	31	103	42	0.0286068
0.02338	292	1481	31	103	42	0.0821367
0.02587	293	1486	31	103	42	0.15014
0.02591	295	1524	31	105	42	0.187308
0.02593	296	1531	31	105	43	0.253409
0.02595	301	1585	31	109	44	0.305151
0.02597	303	1606	29	119	44	0.264916
0.02599	304	1619	28	122	44	0.17687
0.02601	310	1741	26	125	46	0.112993
0.02603	318	1825	26	129	47	0.0492601
0.02606	318	1827	26	129	47	-0.024245
0.02608	320	1837	26	129	47	-0.0896735
0.0261	324	1899	27	129	49	-0.0811095
0.02612	325	1920	27	129	49	-0.0618967
0.02614	325	1971	27	129	49	-0.0510798
0.02616	330	2046	27	131	50	-0.031323
0.02619	330	2048	27	131	50	-0.0112561
0.02622	330	2057	27	131	50	0.00912838
0.02624	330	2063	27	131	50	0.0112151
0.02626	330	2068	27	131	50	0.0133052
0.0263	330	2086	27	131	50	0.0153987
0.02632	330	2116	27	131	50	0.0153987
0.02634	330	2144	26	131	50	0.0153973
0.02636	330	2147	26	131	50	0.0153973
0.0264	332	2153	27	131	50	0.0153987
0.02645	333	2154	27	131	50	0.0153987
0.02647	333	2155	27	131	50	0.0153987
0.02651	333	2156	27	131	50	0.0153987
0.02655	333	2159	27	131	50	0.0153987
0.02657	333	2164	27	131	50	0.0193727
0.02662	333	2180	27	131	50	0.0233467
0.02664	333	2182	27	131	50	0.0352687
0.0269	333	2186	27	131	50	0.0471907
0.02916	333	2188	27	131	50	0.0630868
0.02919	334	2198	26	132	50	0.0689005
0.02921	336	2206	27	132	50	0.0824744
0.02923	339	2241	27	134	50	0.0813296
0.02925	339	2257	27	134	50	0.0801934
0.02927	340	2259	27	135	50	0.0553738
0.02929	343	2339	26	137	51	0.0357181
0.02931	349	2423	28	139	51	-0.00957563
0.02933	350	2424	28	139	51	-0.0563363
0.02935	351	2447	28	139	51	-0.0964863
0.02937	354	2519	27	140	53	-0.121173
0.02939	356	2553	28	140	53	-0.139612
0.02941	357	2628	27	141	55	-0.141544
0.02943	361	2727	27	143	56	-0.133921
0.02945	361	2753	27	143	56	-0.126131
0.02947	364	2826	27	144	58	-0.0856525
0.02949	365	2844	27	145	58	-0.060774
0.02951	366	2859	27	145	59	-0.0195158
0.02953	366	2873	27	145	59	0.00921192
